font_name,category,subcategory,personality,weight,contrast,spacing,formality,energy,brand_use
Times New Roman,Serif,Transitional,Professional,6,7,6,10,2,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,4,9,5,10,4,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,6,9,4,10,3,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,4,8,5,9,3,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,4,7,5,9,2,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,4,7,6,10,4,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,5,9,5,9,4,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,5,9,6,8,4,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,4,9,6,8,2,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,6,8,4,9,3,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,5,7,5,8,3,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,6,9,4,10,4,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,5,7,5,9,3,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,5,8,5,9,2,"Finance,Law,Publishing"
Times New Roman,Serif,Transitional,Professional,6,8,5,9,3,"Finance,Law,Publishing"
Georgia,Serif,Transitional,Elegant,5,7,6,9,3,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,6,5,7,2,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,5,8,4,8,2,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,4,6,4,9,2,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,4,6,6,7,2,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,8,6,7,4,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,6,6,7,3,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,7,4,9,2,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,5,6,6,9,3,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,4,8,5,9,4,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,4,8,4,9,3,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,6,4,8,4,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,7,6,9,2,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,8,5,8,2,"Editorial,Education,Luxury"
Georgia,Serif,Transitional,Elegant,6,8,6,7,2,"Editorial,Education,Luxury"
Garamond,Serif,Old Style,Luxury,3,5,7,10,1,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,4,7,5,8,3,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,4,7,6,9,2,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,6,5,8,2,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,3,6,7,9,3,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,7,6,8,1,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,7,6,8,1,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,7,7,9,3,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,6,5,8,3,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,3,7,7,9,1,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,6,5,9,2,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,4,6,7,8,1,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,5,7,8,2,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,3,6,7,8,1,"Luxury,Fashion,Publishing"
Garamond,Serif,Old Style,Luxury,2,7,6,9,1,"Luxury,Fashion,Publishing"
Playfair Display,Serif,Transitional,Luxury,6,9,6,10,5,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,7,8,6,9,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,6,9,5,10,5,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,5,8,6,9,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,7,10,6,9,5,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,7,10,6,8,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,7,9,4,10,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,5,9,6,10,4,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,6,10,6,9,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,5,9,4,9,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,5,10,6,8,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,7,10,6,9,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,7,8,5,9,5,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,6,8,6,8,3,"Luxury,Fashion,Editorial"
Playfair Display,Serif,Transitional,Luxury,6,9,5,9,4,"Luxury,Fashion,Editorial"
Merriweather,Serif,Slab,Professional,7,4,3,7,3,"Finance,Healthcare,Education"
Merriweather,Serif,Slab,Professional,6,4,5,9,3,"Finance,Healthcare,Education"
Merriweather,Serif,Slab,Professional,5,6,5,8,5,"Finance,Healthcare,Education"
Merriweather,Serif,Slab,Professional,6,5,4,8,4,"Finance,Healthcare,Education"
Merriweather,Serif,Slab,Professional,5,6,4,9,5,"Finance,Healthcare,Education"
Merriweather,Serif,Slab,Professional,6,4,4,7,5,"Finance,Healthcare,Education"
Merriweather,Serif,Slab,Professional,5,4,3,9,5,"Finance,Healthcare,Education"
Merriweather,Serif,Slab,Professional,5,4,4,7,4,"Finance,Healthcare,Education"
