font_name,category,subcategory,personality,weight,contrast,spacing,formality,energy,brand_use
Times New Roman,Serif,Transitional,Professional,5,8,5,9,3,"Finance,Law,Publishing"
Georgia,Serif,Transitional,Elegant,5,7,5,8,3,"Editorial,Education,Luxury"
Garamond,Serif,Old Style,Luxury,3,6,6,9,2,"Luxury,Fashion,Publishing"
Playfair Display,Serif,Transitional,Luxury,6,9,5,9,4,"Luxury,Fashion,Editorial"
Merriweather,Serif,Slab,Professional,6,5,4,8,4,"Finance,Healthcare,Education"
Lora,Serif,Transitional,Elegant,5,6,5,8,3,"Travel,Lifestyle,Editorial"
Cormorant Garamond,Serif,Old Style,Luxury,3,9,6,9,2,"Luxury,Fashion,Beauty"
EB Garamond,Serif,Old Style,Elegant,3,6,6,9,2,"Publishing,Education,Luxury"
Libre Baskerville,Serif,Transitional,Professional,5,7,5,8,3,"Finance,Law,Healthcare"
Source Serif Pro,Serif,Humanist,Professional,5,5,5,7,4,"Technology,Healthcare,Education"
Helvetica Neue,Sans-Serif,Grotesque,Minimalist,5,2,5,7,5,"Technology,Corporate,Retail"
Inter,Sans-Serif,Grotesque,Minimalist,4,2,5,6,5,"Technology,SaaS,Startup"
Roboto,Sans-Serif,Neo-Grotesque,Minimalist,4,2,5,6,5,"Technology,Mobile,Corporate"
Lato,Sans-Serif,Humanist,Professional,4,3,5,6,5,"Healthcare,Finance,Corporate"
Open Sans,Sans-Serif,Humanist,Professional,4,2,6,6,5,"Healthcare,Education,Corporate"
Poppins,Sans-Serif,Geometric,Vibrant,5,2,5,5,7,"Startup,Technology,Education"
Montserrat,Sans-Serif,Geometric,Bold,6,2,4,5,8,"Fashion,Retail,Marketing"
Raleway,Sans-Serif,Geometric,Elegant,4,3,6,7,5,"Fashion,Luxury,Travel"
Nunito,Sans-Serif,Rounded,Playful,4,2,5,3,7,"Education,Food,Children"
Quicksand,Sans-Serif,Rounded,Playful,3,2,6,3,7,"Food,Lifestyle,Children"
DM Sans,Sans-Serif,Geometric,Minimalist,4,2,5,6,5,"Technology,Startup,General"
Source Sans Pro,Sans-Serif,Humanist,Professional,4,2,5,7,5,"Technology,Healthcare,Corporate"
Josefin Sans,Sans-Serif,Geometric,Elegant,4,3,7,7,5,"Fashion,Travel,Lifestyle"
Oswald,Sans-Serif,Condensed,Bold,7,3,3,5,8,"Sports,Retail,Entertainment"
Bebas Neue,Display,Condensed,Bold,9,2,2,3,10,"Sports,Retail,Street"
Anton,Display,Condensed,Bold,9,2,2,3,10,"Sports,Entertainment,Advertising"
Fredoka One,Display,Rounded,Playful,7,2,3,2,9,"Children,Food,Gaming"
Space Mono,Monospace,Geometric,Minimalist,5,3,6,6,4,"Technology,Design,Creative"
Roboto Mono,Monospace,Grotesque,Professional,4,2,5,6,4,"Technology,Development,Data"
Pacifico,Script,Handwritten,Playful,6,4,4,1,8,"Food,Lifestyle,Casual"
Dancing Script,Script,Calligraphy,Elegant,4,6,5,5,5,"Fashion,Wedding,Beauty"
